"AlpAKaS_ID","country_code","data_provider","spring_name","local_station_ID","local_station_name","station_lon","station_lat","station_easting","station_northing","station_elev","station_type","station_in_alp_conv","upstream_stations","downstream_stations","impact_surface_flow","impact_water_extraction","comment_water_use","comment_station","comment_spring","comment_catchment","catch_expert_available","catch_expert_shp","area_catch_expert","area_catch_approx","structural_unit","comment_data","literature","WoKaS_ID","MEDKAM_ID","WOKAM_ID","q_orig_res_inst","q_orig_res_hourly","q_orig_res_daily","q_hourly_available","q_data_quality","q_daily_start","q_daily_end","q_daily_obs","q_daily_compl","q_hourly_start","q_hourly_end","q_hourly_obs","q_hourly_compl","ind_start_date_eobs","ind_end_date_eobs","ind_years_valid_eobs","ind_start_date_era5land","ind_end_date_era5land","ind_years_valid_era5land","ind_start_date_nat","ind_end_date_nat","ind_years_valid_nat"
"AT-0001","AT","BMLUK","Teufelskirche","395012","Teufelskirche",14.2052342244698,47.7869734816468,4636100.01463528,2750446.40315556,541.13,"spring_station",TRUE,NA,NA,FALSE,"FALSE",NA,"second probe which measure in 1-minute intervals has been installed, because of the variability in times of low flow","permanently very high discharges (""Riesenkarstquelle""),  bubbling spring (""Waller""); additional names: Vordere Rettenbachquelle; emerges downstream of a large cave entrance (Teufelskirche), at high discharge rates, water emerges also from the cave entrance","Northern Limestone Alps; high elevations of Sengsengebirge; Wetterstein limestone",TRUE,TRUE,19.201,33.984,"Eastern Alpine","below a water level of 44 cm, the level starts to fluctuate; possibly due to extremely rare hydraulic lift effects","https://opac.geologie.ac.at/ais312/dokumente/Kaiser_Teufelskirche.pdf; https://info.bml.gv.at/dam/jcr:2d1bb4c5-9c5b-41b9-ae3c-882e71c8499d/Mitteilungen-Nr_70.pdf; https://www.researchgate.net/publication/329736113_Karstquellen_im_Nationalpark_Kalkalpen","AT-0016",NA,NA,FALSE,TRUE,FALSE,TRUE,"good","1995-08-10","2023-12-31",10117,0.976,"1995-08-10 09:00:00","2023-12-31 23:00:00",242518,0.974,1995-10-01,2023-09-30,28,1995-10-01,2023-09-30,28,1995-10-01,2023-09-30,28
"AT-0002","AT","BMLUK","Waldbachursprung","395038","Waldbachursprung",13.6070018960308,47.544206712675,4592595.42536336,2721129.2361329,873.86,"spring_station",TRUE,NA,NA,FALSE,"FALSE","previously used for drinking water extraction",NA,"contact spring; highly influenced by glaicers in catchment (Dachstein)","Northern Limestone Alps; Dachstein massif; drains Dachstein formation of 1000 m thickness; catchment delineated by Waldbachursprung – Schwarzkogel – Hinterer Gosausee – Hoher Dachstein – Mitterstein – Waldbachursprung; mean catchment altitude o 2200 m - 2300 m above sea level; highly influenced by glaciers; recharge area varies",TRUE,TRUE,37.523,73.966,"Eastern Alpine",NA,"https://doi.org/10.1007/s00506-018-0536-y; https://opac.geologie.ac.at/ais312/dokumente/AL0021_001_A.pdf; https://info.bml.gv.at/dam/jcr:2d1bb4c5-9c5b-41b9-ae3c-882e71c8499d/Mitteilungen-Nr_70.pdf","AT-0004","Q562",NA,FALSE,TRUE,FALSE,TRUE,"good","1996-03-01","2023-12-31",9759,0.96,"1996-03-01 00:00:00","2023-12-31 23:00:00",233617,0.957,1996-10-01,2023-09-30,26,1996-10-01,2023-09-30,26,1996-10-01,2023-09-30,26
"AT-0003","AT","BMLUK","Hirschbrunn","395053","Hirschbrunn-Seeaustritt",13.6581056303251,47.546707978802,4596426.47829841,2721595.7352181,508.18,"spring_station",TRUE,NA,NA,FALSE,"FALSE",NA,"induction measuring probe 16 m below water level in the spring cave","periodically very high discharges (""Riesenkarstquelle""); fracture which is the entry to an at least 65 m deep vertical cave; discharge only in summer starting at around 13 h due to melt processes; influenced by glaciers","Northern Limestone Alps; Dachstein massif; drains Dachstein formation; catchment delineated by Hirschbrunn – Brettkogel – Schladminger Gletscher – Gjaidalm – Hirschbrunn; mean catchment altitude of 1850 m above sea level (isotope analysis)",FALSE,FALSE,NA,9.995,"Eastern Alpine",NA,"https://doi.org/10.1007/s00506-018-0536-y; https://opac.geologie.ac.at/ais312/dokumente/AL0021_001_A.pdf; https://info.bml.gv.at/dam/jcr:2d1bb4c5-9c5b-41b9-ae3c-882e71c8499d/Mitteilungen-Nr_70.pdf","AT-0040",NA,NA,FALSE,TRUE,FALSE,TRUE,"good","2008-05-14","2023-12-31",5225,0.915,"2008-05-14 10:00:00","2023-12-31 23:00:00",124987,0.912,2008-10-01,2022-09-30,13,2008-10-01,2022-09-30,13,2008-10-01,2022-09-30,13
"AT-0004","AT","BMLUK","Steyernquelle","395079","Steyernquelle",14.3524330184132,47.8247513004742,4646875.17615467,2755276.74281823,545.87,"spring_station",TRUE,NA,NA,FALSE,"FALSE","hydropower plant","two branches: (1) captures with steady discharge (2) overflow with extremely varying discharge; station only measures overflow, while steady discharge is not inlcuded","cave; periodically very high discharges (""Riesenkarstquelle"")","Northern Limestone Alps; Sengsengebirge; tracer tests, probably also recharged by Nock area",TRUE,TRUE,8.197,9.995,"Eastern Alpine",NA,"https://www.researchgate.net/publication/329736113_Karstquellen_im_Nationalpark_Kalkalpen; https://info.bml.gv.at/dam/jcr:2d1bb4c5-9c5b-41b9-ae3c-882e71c8499d/Mitteilungen-Nr_70.pdf","AT-0042",NA,NA,FALSE,TRUE,FALSE,TRUE,"good","1998-01-01","2023-12-31",8740,0.92,"1998-01-01 01:00:00","2023-12-31 23:00:00",209480,0.919,1999-10-01,2023-09-30,22,1999-10-01,2023-09-30,22,1999-10-01,2023-09-30,22
"AT-0005","AT","BMLUK","Pießling Ursprung","395103","Pießling Ursprung",14.2752309246171,47.6919872736477,4641930.93737869,2740206.61451385,752.76,"spring_station",TRUE,NA,NA,FALSE,"FALSE","hydropower plant extracting part of discharge via pipe",NA,"spring pool","Northern Limestone Alps; Warscheneck karst plateau; cave system of 1500 m investigated length",TRUE,TRUE,34.654,55.974,"Eastern Alpine","change of measuring station in 2018","https://doi.org/10.5194/hess-29-3037-2025; https://unipub.uni-graz.at/geograz/content/titleinfo/6012007/full.pdf","AT-0003","Q394","B32",FALSE,TRUE,FALSE,TRUE,"good","1980-06-01","2023-12-31",15917,1,"1980-06-01 06:00:00","2023-12-31 23:00:00",381977,1,1980-10-01,2023-09-30,43,1980-10-01,2023-09-30,43,1980-10-01,2023-09-30,43
"AT-0006","AT","BMLUK","Rettenbachquelle","395111","Rettenbachquelle",14.3138322353827,47.7547586170298,4644429.75806298,2747340.32751421,612.61,"spring_station",TRUE,NA,NA,FALSE,"FALSE",NA,"measures discharge  at old fish ponds, other springs below the cave entrance Teufelsloch","spring pond","Northern Limestone Alps; Sengsengebirge",TRUE,TRUE,25.273,34.984,"Eastern Alpine",NA,"https://www.researchgate.net/publication/329736113_Karstquellen_im_Nationalpark_Kalkalpen; https://info.bml.gv.at/dam/jcr:2d1bb4c5-9c5b-41b9-ae3c-882e71c8499d/Mitteilungen-Nr_70.pdf; https://doi.org/10.5194/hess-29-3037-2025","AT-0011",NA,NA,FALSE,TRUE,FALSE,TRUE,"good","1991-01-01","2023-12-31",12053,1,"1991-01-01 01:00:00","2023-12-31 23:00:00",289271,1,1991-10-01,2023-09-30,32,1991-10-01,2023-09-30,32,1991-10-01,2023-09-30,32
"AT-0007","AT","BMLUK","Quelle Brunnental","395137","Brunnental",14.0952484270755,47.806412095078,4627752.25648336,2752141.21896503,537.91,"spring_station",TRUE,NA,NA,FALSE,"FALSE",NA,NA,NA,"Northern Limestone Alps; Pre-Alps; Kasberg",TRUE,TRUE,7.526,12.994,"Eastern Alpine",NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,"good","1976-01-01","2023-12-31",17455,0.996,"1976-01-01 02:00:00","2023-12-31 23:00:00",419906,0.998,1976-10-01,2023-09-30,47,1976-10-01,2023-09-30,47,1976-10-01,2023-09-30,47
"AT-0008","AT","BMLUK","Miesenbachursprung","395145","Langwies/Miesbach",13.7330788734988,47.7858477836131,4600763.97754956,2748422.29301983,434.6,"spring_station",TRUE,NA,NA,FALSE,"FALSE",NA,"gauging station (level indicator)",NA,"Northern Limestone Alps; drains the strongly karstified limestones of the Höllengebirge towards the south; main recharge from high elevations of the Feuerkogelplateau (isotope analysis)",TRUE,TRUE,11.618,24.989,"Eastern Alpine",NA,"https://opac.geologie.ac.at/ais312/dokumente/GmuGeoStud_003_0007_0012.pdf",NA,NA,NA,FALSE,TRUE,FALSE,TRUE,"good","1997-01-01","2023-12-31",9538,0.967,"1997-01-01 01:00:00","2023-12-31 23:00:00",228405,0.965,1997-10-01,2023-09-30,25,1997-10-01,2023-09-30,25,1997-10-01,2023-09-30,25
"AT-0009","AT","BMLUK","Gollinger Wasserfall","395210","Gollinger Wasserfall",13.1367806392987,47.6011308203077,4556955.25418625,2725836.33212542,555,"spring_station",TRUE,NA,NA,FALSE,"FALSE",NA,NA,"cascade spring; very high discharges (""Riesenkarstquelle""); emerges 100 m above valley base level and cascades in two large waterfall steps; additional names: Schwarzbachfall","Northern Limestone Alps; Berchtesgaden Alps; Göll massif; one of the few springs draining the Göll massif",TRUE,TRUE,17.426,25.988,"Eastern Alpine",NA,"https://opac.geologie.ac.at/ais312/dokumente/Huemer_Gollinger%20Wasserfall.pdf; https://info.bml.gv.at/dam/jcr:2d1bb4c5-9c5b-41b9-ae3c-882e71c8499d/Mitteilungen-Nr_70.pdf; https://service.salzburg.gv.at/ins/external/displayRegion?id=432","AT-0006","Q212",NA,FALSE,TRUE,FALSE,TRUE,"good","1999-01-01","2023-12-31",9131,1,"1999-01-01 01:00:00","2023-12-31 23:00:00",219143,1,1999-10-01,2023-09-30,24,1999-10-01,2023-09-30,24,1999-10-01,2023-09-30,24
"AT-0010","AT","BMLUK","Marbachquelle","395244","Marbachquelle",13.4134331935851,47.2520136303025,4579482.76722258,2688003.07558642,1045.98,"stream_station",TRUE,NA,NA,FALSE,"TRUE","drinking water extraction for Eben im Pongau, St. Johann im Pongau, Flachau and Asfinag; 125 l/s extracted upstream of the gauging station","spring capture with drainage pipes and collecting shafts",NA,"Central Eastern Alps; Mosermandl massif; limestone marble and dolomite marble; tracer tests by water supplier ""Obere Enns""",TRUE,TRUE,14.423,12.994,"Eastern Alpine","water level measuring device was destroyed during the flood on August 4, 2017, and rebuilt at the end of September 2018","https://info.bml.gv.at/dam/jcr:2d1bb4c5-9c5b-41b9-ae3c-882e71c8499d/Mitteilungen-Nr_70.pdf","AT-0044",NA,NA,FALSE,TRUE,FALSE,TRUE,"good","1998-01-01","2023-12-31",8730,0.919,"1998-01-01 00:00:00","2023-12-31 23:00:00",209971,0.921,1998-10-01,2023-09-30,21,1998-10-01,2023-09-30,21,1998-10-01,2023-09-30,21
