"clc_code","camels_ch_reclass","color_hex","legend_order","attribute_name"
111,"Urban","#E60000",1,"urban_perc"
112,"Urban","#E60000",1,"urban_perc"
121,"Urban","#E60000",1,"urban_perc"
122,"Urban","#E60000",1,"urban_perc"
123,"Urban","#E60000",1,"urban_perc"
124,"Urban","#E60000",1,"urban_perc"
131,"Loose rock","#808080",10,"loose_rock_perc"
132,"Loose rock","#808080",10,"loose_rock_perc"
133,"Loose rock","#808080",10,"loose_rock_perc"
141,"Grass","#C8FF64",3,"grass_perc"
142,"Urban","#E60000",1,"urban_perc"
211,"Crop","#E6C229",2,"crop_perc"
212,"Crop","#E6C229",2,"crop_perc"
213,"Crop","#E6C229",2,"crop_perc"
221,"Shrub","#A9DF8A",4,"shrub_perc"
222,"Shrub","#A9DF8A",4,"shrub_perc"
223,"Shrub","#A9DF8A",4,"shrub_perc"
231,"Grass","#C8FF64",3,"grass_perc"
241,"Crop","#E6C229",2,"crop_perc"
242,"Crop","#E6C229",2,"crop_perc"
243,"Crop","#E6C229",2,"crop_perc"
244,"Shrub","#A9DF8A",4,"shrub_perc"
311,"Deciduous wood","#80FF00",5,"dwood_perc"
312,"Evergreen wood","#00A600",6,"ewood_perc"
313,"Mixed wood","#4DFF00",7,"mix_wood_perc"
321,"Grass","#C8FF64",3,"grass_perc"
322,"Wetland","#00CC99",8,"wetland_perc"
323,"Shrub","#A9DF8A",4,"shrub_perc"
324,"Shrub","#A9DF8A",4,"shrub_perc"
331,"Loose rock","#808080",10,"loose_rock_perc"
332,"Rock","#CCCCCC",11,"rock_perc"
333,"Loose rock","#808080",10,"loose_rock_perc"
334,"Loose rock","#808080",10,"loose_rock_perc"
335,"Ice","#A6E6CC",12,"ice_perc"
411,"Wetland","#00CC99",8,"wetland_perc"
412,"Wetland","#00CC99",8,"wetland_perc"
421,"Wetland","#00CC99",8,"wetland_perc"
422,"Wetland","#00CC99",8,"wetland_perc"
423,"Wetland","#00CC99",8,"wetland_perc"
511,"Inland water","#1E90FF",9,"inwater_perc"
512,"Inland water","#1E90FF",9,"inwater_perc"
521,"Inland water","#1E90FF",9,"inwater_perc"
522,"Inland water","#1E90FF",9,"inwater_perc"
523,"Inland water","#1E90FF",9,"inwater_perc"
990,"Unknown","#FF00FF",13,""
995,"Inland water","#1E90FF",9,"inwater_perc"
999,"Unknown","#FF00FF",13,""
